Document Title,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page
Using a case study to teach students about finding and fixing logic flaws in software,"Computer Science Department, North Carolina A&T State University, Greensboro, NC, USA",2015 IEEE Frontiers in Education Conference (FIE),20151207,2015,,,1,7
Who should review this change?: Putting text and file location analyses together for more accurate recommendations,"College of Computer Science and Technology, Zhejiang University, Hangzhou, China",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,261,270
A New Framework of Security Vulnerabilities Detection in PHP Web Application,"Nat. Eng. Lab. for Mobile Network Security, Beijing Univ. of Posts & Telecommun., Beijing, China",2015 9th International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing,20151001,2015,,,271,276
Empirical Metadata Maintenance in Source Code Development Process,"Fac. of Inf. & Inf. Technol., Slovak Univ. of Technol. in Bratislava, Bratislava, Slovakia",2015 4th Eastern European Regional Conference on the Engineering of Computer Based Systems,20150928,2015,,,25,31
"Virtual Reality in Software Engineering: Affordances, Applications, and Challenges","Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC, USA",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,2,,547,550
Untangling Development Tasks with Software Developer's Activity,"Fac. of Inf. & Inf. Technol., Slovak Univ. of Technol. in Bratislava, Bratislava, Slovakia",2015 IEEE/ACM 2nd International Workshop on Context for Software Development,20150813,2015,,,13,14
Will They Like This? Evaluating Code Contributions with Language Models,"SORCERERS @ Software Eng. Res. Group, Delft Univ. of Technol., Delft, Netherlands",2015 IEEE/ACM 12th Working Conference on Mining Software Repositories,20150806,2015,,,157,167
Process Cube for Software Defect Resolution,"Indraprastha Inst. of Inf. Technol. - Delhi (IIITD), New Delhi, India",2014 21st Asia-Pacific Software Engineering Conference,20150423,2014,1,,239,246
Assessing MCR Discussion Usefulness Using Semantic Similarity,"Kasetsart Univ., Bangkok, Thailand",2014 6th International Workshop on Empirical Software Engineering in Practice,20141206,2014,,,49,54
A tool for authoring programs that automatically distribute feedback to novice programmers,"Dept. of Comput. Sci. & Eng., Washington Univ. in St. Louis, St. Louis, MO, USA",2014 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),20140828,2014,,,207,208
The Secret Life of Patches: A Firefox Case Study,"David R. Cheriton Sch. of Comput. Sci., Univ. of Waterloo, Waterloo, ON, Canada",2012 19th Working Conference on Reverse Engineering,20121220,2012,,,447,455
"Software certification - coding, code, and coders","Laboratory for Reliable Software (LaRS), Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, 91109-8099, USA",2011 Proceedings of the Ninth ACM International Conference on Embedded Software (EMSOFT),20111031,2011,,,205,210
Technology Transfer: A Software Security Marketplace Case Study,Cigital,IEEE Software,20110818,2011,28,5,9,11
Does studio-based instruction work in CS 1?: an empirical comparison with a traditional approach,"Washington State University, Pullman, WA, USA",Proceedings of the 41st ACM technical symposium on Computer science education,20110708,2010,,,500,504
Empirical software evolvability - code smells and human evaluations,"SoberIT, Department of Computer Science, School of Science and Technology, Aalto University, P.O. Box 19210, FI-00760, Finland",2010 IEEE International Conference on Software Maintenance,20101025,2010,,,1,6
Guest editors' introduction: Software Assurance for the Masses,,IEEE Security & Privacy,20120626,2012,10,3,14,15
Automatically recommending code reviewers based on their expertise: An empirical comparison,"paluno - The Ruhr Institute for Software Technology, University of Duisburg-Essen, Germany",2016 31st IEEE/ACM International Conference on Automated Software Engineering (ASE),20161006,2016,,,99,110
The promises and perils of mining GitHub,"University of Victoria, Canada",Proceedings of the 11th Working Conference on Mining Software Repositories,20160129,2014,,,92,101
Incorporating real world non-coding features into block IDEs,"Georgia Institute of Technology, Atlanta, GA",2015 IEEE Blocks and Beyond Workshop (Blocks and Beyond),20160104,2015,,,103,104
Code Comprehension Activities in Undergraduate Software Engineering Course - A Case Study,"Int. Inst. of Inf. Technol., Hyderabad, India",2015 24th Australasian Software Engineering Conference,20151228,2015,,,68,77
A hybrid approach to code reviewer recommendation with collaborative filtering,"State Key Laboratory of Software Development Environment, School of Computer Science and Engineering, Beihang University, Beijing, China 100191",2017 6th International Workshop on Software Mining (SoftwareMining),20171109,2017,,,24,31
Graph Data Management of Evolving Dependency Graphs for Multi-versioned Codebases,"Oracle Labs., Brisbane, QLD, Australia",2017 IEEE International Conference on Software Maintenance and Evolution (ICSME),20171107,2017,,,574,583
From Smashed Screens to Smashed Stacks: Attacking Mobile Phones Using Malicious Aftermarket Parts,"Ben-Gurion Univ., Beer-Sheva, Israel",2017 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),20170703,2017,,,94,98
Examination of Coding Violations Focusing on Their Change Patterns over Releases,"Grad. Sch. of Sci. & Eng., Ehime Univ., Matsuyama, Japan",2016 23rd Asia-Pacific Software Engineering Conference (APSEC),20170403,2016,,,121,128
Which review feedback did long-term contributors get on OSS projects?,"Graduate School of Information Science, Nara Institute of Science and Technology, JAPAN","2017 IEEE 24th International Conference on Software Analysis, Evolution and Reengineering (SANER)",20170323,2017,,,571,572
Software Analytics: Challenges and Opportunities,"Ecole de Technol. Super., Montre&#x0301;al, QC, Canada",2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C),20170323,2016,,,902,903
Identifying Code Smells with Collaborative Practices: A Controlled Experiment,"PUC-Rio, Rio de Janeiro, Brazil","2016 X Brazilian Symposium on Software Components, Architectures and Reuse (SBCARS)",20161219,2016,,,61,70
CORRECT: Code reviewer recommendation at GitHub for Vendasta technologies,"University of Saskatchewan, Canada",2016 31st IEEE/ACM International Conference on Automated Software Engineering (ASE),20161006,2016,,,792,797
Treating software quality as a first-class entity,"REVEAL @ Faculty of Informatics - University of Lugano, Switzerland",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,594,597
Synthesizing Continuous Deployment Practices Used in Software Development,"Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC, USA",2015 Agile Conference,20151001,2015,,,1,10
phpSAFE: A Security Analysis Tool for OOP Web Application Plugins,"Polytech. Inst. of Guarda, Univ. of Coimbra, Guarda, Portugal",2015 45th Annual IEEE/IFIP International Conference on Dependable Systems and Networks,20150917,2015,,,299,306
ViDI: The Visual Design Inspector,"REVEAL @ Fac. of Inf., Univ. of Lugano, Lugano, Switzerland",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,2,,653,656
The Firefox Temporal Defect Dataset,"Data Sci. Lab., Ryerson Univ., Toronto, ON, Canada",2015 IEEE/ACM 12th Working Conference on Mining Software Repositories,20150806,2015,,,498,501
Automated techniques and tools for program analysis: Survey,"Dept. of Comput. Eng., Coll. of Eng., Pune, India","2013 Fourth International Conference on Computing, Communications and Networking Technologies (ICCCNT)",20140130,2013,,,1,7
Informing development decisions: From data to information,"David R. Cheriton School of Computer Science, University of Waterloo, ON, Canada",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,1407,1410
Situational awareness: Personalizing issue tracking systems,"Software Architecture Group (SWAG), David R. Cheriton School of Computer Science, University of Waterloo, Canada",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,1185,1188
Extracting artifact lifecycle models from metadata history,"David R. Cheriton School of Computer Science, University of Waterloo, Canada",2013 1st International Workshop on Data Analysis Patterns in Software Engineering (DAPSE),20130919,2013,,,17,19
Security Engineering Based on Structured Formal Reasoning,"Fraunhofer Inst. for Secure Inf. Technol., Darmstadt, Germany",2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom),20130516,2012,,,145,152
An Empirical Study on Factors Impacting Bug Fixing Time,"Sch. of Comput., Queen's Univ., Kingston, ON, Canada",2012 19th Working Conference on Reverse Engineering,20121220,2012,,,225,234
Contemporary Peer Review in Action: Lessons from Open Source Development,"Concordia University, Montreal, Canada",IEEE Software,20121022,2012,29,6,56,61
[Title page i],,2015 IEEE/ACM 12th Working Conference on Mining Software Repositories,20150806,2015,,,i,i
Table of contents,,2014 IEEE 4th Workshop on Mining Unstructured Data,20141211,2014,,,v,v
Lightweight realization of UML ports for safety-critical real-time embedded software,"Avionics Software Design Department, Aselsan Inc., Ankara, Turkey",2016 4th International Conference on Model-Driven Engineering and Software Development (MODELSWARD),20170626,2016,,,258,265
Using (Bio)Metrics to Predict Code Quality Online,"Dept. of Inf., Univ. of Zurich, Zurich, Switzerland",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),20170403,2016,,,452,463
What information about code snippets is available in different software-related documents? An exploratory study,"University of Delaware, Newark, USA","2017 IEEE 24th International Conference on Software Analysis, Evolution and Reengineering (SANER)",20170323,2017,,,382,386
WAP: Understanding the Brain at Software Debugging,"DEIS, Polytech. Inst. of Coimbra, Coimbra, Portugal",2016 IEEE 27th International Symposium on Software Reliability Engineering (ISSRE),20161208,2016,,,87,92
Web usage patterns of developers,"ABB Corporate Research, Raleigh, NC, USA",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,381,390
